level=2  	child=4  	bacteriology  	/	balanceable   	/	balsam        	/	banns         
level=3  	child=0  	backdate      	/	backlighting  	/	backstair     	/	bacterial     
level=4  	child=0  	bachelordom   	/	bachelorette  	/	bacillicide   	/	backache      
level=4  	child=1  	backdoor      	/	backer        	/	backfire      	/	backkward     
level=4  	child=2  	backmost      	/	backout       	/	backrest      	/	backscratcher 
level=4  	child=3  	backwards     	/	bacteremia    	/	bacteremic    	/	bacteremically
level=4  	child=4  	bactericidal  	/	bactericide   	/	bacteriform   	/	bacteriologist
level=3  	child=1  	badlands      	/	baffler       	/	bagwig        	/	bailie        
level=4  	child=0  	bacteriolysin 	/	bacteriophage 	/	bacteriotherapy	/	bacterium     
level=4  	child=1  	badminton     	/	badmintoon    	/	badness       	/	baffleplate   
level=4  	child=2  	bagasse       	/	bagdad        	/	bagful        	/	bagpipe       
level=4  	child=3  	bagworm       	/	bah           	/	bahadur       	/	baikal        
level=4  	child=4  	bailor        	/	bairn         	/	bakemeat      	/	bakery        
level=3  	child=2  	baldly        	/	balladry      	/	ballon        	/	ballpoint     
level=4  	child=0  	balancer      	/	balanoid      	/	balata        	/	balconied     
level=4  	child=1  	baldpate      	/	baleen        	/	bali          	/	balladeer     
level=4  	child=2  	ballerina     	/	ballerine     	/	balletomane   	/	ballistician  
level=4  	child=3  	balloon       	/	balloonfish   	/	ballotage     	/	ballplayer    
level=4  	child=4  	ballroomology 	/	balneation    	/	balneology    	/	balneotherapy 
level=3  	child=3  	banana        	/	bandbox       	/	bandsaw       	/	banking       
level=4  	child=0  	balsamiferous 	/	balsamine     	/	balustrade    	/	bamboo        
level=4  	child=1  	banc          	/	banco         	/	bandage       	/	bandanna      
level=4  	child=2  	bandeau       	/	bandit        	/	bandolero     	/	bandore       
level=4  	child=3  	bangalore     	/	bangbang      	/	bankbook      	/	banker        
level=4  	child=4  	banknote      	/	bankruptcy    	/	banlieue      	/	bannock       
level=3  	child=4  	baptismal     	/	barbette      	/	barf          	/	barium        
level=4  	child=0  	banquet       	/	bantam        	/	bantering     	/	banting       
level=4  	child=1  	barback       	/	barbara       	/	barbarization 	/	barbate       
level=4  	child=2  	bard          	/	barebacked    	/	bareboat      	/	barefoot      
level=4  	child=3  	bariatrics    	/	barilla       	/	barite        	/	baritone      
level=4  	child=4  	barley        	/	barleycorn    	/	barm          	/	barodynamics  
level=1  	child=2  	befringe      	/	bilker        	/	bludgeon      	/	bragger       
level=2  	child=0  	bassing       	/	bawdily       	/	beautification	/	bedsheet      
level=3  	child=0  	barranco      	/	barroque      	/	basaltic      	/	bashlyk       
level=4  	child=0  	barometric    	/	barometrical  	/	baronet       	/	barotolerance 
level=4  	child=1  	barratry      	/	barrelhead    	/	barret        	/	barroom       
level=4  	child=2  	barrow        	/	barterer      	/	barytes       	/	barytic       
level=4  	child=3  	bascule       	/	baseless      	/	baseset       	/	bashful       
level=4  	child=4  	basidiomycete 	/	basilic       	/	basket        	/	basketwork    
level=3  	child=1  	bathrobe      	/	batt          	/	battlefront   	/	battlewagon   
level=4  	child=0  	basswood      	/	bastard       	/	bateau        	/	bateleur      
level=4  	child=1  	bathsheba     	/	bathybic      	/	batleship     	/	batrachoid    
level=4  	child=2  	batta         	/	battercake    	/	batteries     	/	battledore    
level=4  	child=3  	battleground  	/	battlemented  	/	battleplane   	/	battleship    
level=4  	child=4  	bauble        	/	baudekin      	/	baulk         	/	bawcock       
level=3  	child=2  	bazar         	/	beakiron      	/	bearbaiter    	/	beatism       
level=4  	child=0  	bawdyhouse    	/	bayadere      	/	bayonet       	/	baywreath     
level=4  	child=1  	beach         	/	beacher       	/	beachscape    	/	beak          
level=4  	child=2  	beaky         	/	beanpod       	/	beanstalk     	/	bearably      
level=4  	child=3  	beard         	/	bearward      	/	beatage       	/	beater        
level=4  	child=4  	beatlemania   	/	beaty         	/	beaucoup      	/	beautician    
level=3  	child=3  	became        	/	bedck         	/	bedim         	/	bedraggle     
level=4  	child=0  	beautifier    	/	beautify      	/	beaverboard   	/	becalmed      
level=4  	child=1  	bechamel      	/	becility      	/	bedash        	/	bedbug        
level=4  	child=2  	beddo         	/	bedew         	/	bedgown       	/	bedight       
level=4  	child=3  	bedin         	/	bedlamp       	/	bedpost       	/	bedquilt      
level=4  	child=4  	bedrail       	/	bedrench      	/	bedroll       	/	bedroom       
level=3  	child=4  	bedtiime      	/	beef          	/	beeline       	/	beetleheaded  
level=4  	child=0  	bedsore       	/	bedstead      	/	bedstone      	/	bedtick       
level=4  	child=1  	bedtime       	/	beebee        	/	beebread      	/	beechwood     
level=4  	child=2  	beefsteak     	/	beehouse      	/	beekeeper     	/	beekeeping    
level=4  	child=3  	beemaster     	/	beemistress   	/	beer          	/	beerhouse     
level=4  	child=4  	beetroot      	/	beezer        	/	befit         	/	beforehand    
level=2  	child=1  	bell          	/	benzene       	/	besprent      	/	bicephalous   
level=3  	child=0  	begohm        	/	behoove       	/	beld          	/	belibel       
level=4  	child=0  	beggar        	/	beginner      	/	beginning     	/	begnaw        
level=4  	child=1  	begrimed      	/	behalf        	/	behavioral    	/	behavioural   
level=4  	child=2  	beingless     	/	beiruti       	/	bejesus       	/	bejewel       
level=4  	child=3  	beleague      	/	beleaguer     	/	belee         	/	belfried      
level=4  	child=4  	belie         	/	believable    	/	believer      	/	believing     
level=3  	child=1  	bellwaver     	/	belowground   	/	bemud         	/	beneficiation 
level=4  	child=0  	bellbird      	/	bellboy       	/	belligerency  	/	bellows       
level=4  	child=1  	bellybutton   	/	bellyhold     	/	bellyworm     	/	belong        
level=4  	child=2  	belvedere     	/	bemaul        	/	bemoan        	/	bemock        
level=4  	child=3  	bemuse        	/	bench         	/	bended        	/	benediction   
level=4  	child=4  	benevolent    	/	bengal        	/	benison       	/	benthic       
level=3  	child=2  	bereaved      	/	berliner      	/	beseechingly  	/	besmirch      
level=4  	child=0  	benzoic       	/	benzoin       	/	bepuzzle      	/	bepuzzlement  
level=4  	child=1  	beret         	/	bergall       	/	bergamasque   	/	berimbau      
